16/04/2022 02:01:45 | 171.252.192.133 | Android | Google Chrome | 96.0.4664.104 | Mozilla/5.0 (Linux; Android 12; SM-A528B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.104 Mobile Safari/537.36 | 02:01:45 || 
16/04/2022 03:37:58 | 66.249.89.158 |  |  |  | AdsBot-Google (+http://www.google.com/adsbot.html) | 03:37:58 || 
16/04/2022 04:43:00 | 112.197.8.73 | Windows | Google Chrome | 88.0.4324.150 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36 | 04:43:00 || 
16/04/2022 06:48:48 | 46.227.113.5 | Windows | Google Chrome | 99.0.4844.74 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.74 Safari/537.36 | 06:48:48 || 
16/04/2022 07:25:07 | 27.68.137.50 | Android | Google Chrome | 100.0.4896.88 | Mozilla/5.0 (Linux; Android 11; SM-A505F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.88 Mobile Safari/537.36 | 07:25:07 || 
16/04/2022 07:44:13 | 41.244.244.6 | Windows | Google Chrome | 99.0.4844.82 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36 | 07:44:13 || 
16/04/2022 08:43:51 | 41.74.64.165 | Windows | Google Chrome | 99.0.4844.84 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 | 08:43:51 || 
16/04/2022 13:05:26 | 113.23.103.252 | iPhone | Safari | 12.1 | Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1 Mobile/15E148 Safari/604.1 | 13:05:26 || 
16/04/2022 14:35:01 | 66.249.89.159 | iPhone | Safari | 9.0 | Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1 (compatible; AdsBot-Google-Mobile; +http://www.google.com/mobile/adsbot.html) | 14:35:01 || 
16/04/2022 15:09:36 | 117.7.177.115 | iPhone | Safari | 12.1.2 | Mozilla/5.0 (iPhone; CPU iPhone OS 12_5_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1 | 15:09:36 || 
16/04/2022 16:19:51 | 14.226.99.39 | Android | Google Chrome | 100.0.4896.127 | Mozilla/5.0 (Linux; Android 9; LM-G850) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Mobile Safari/537.36 | 16:19:51 || 
16/04/2022 16:20:06 | 14.226.99.39 | Android | Google Chrome | 100.0.4896.127 | Mozilla/5.0 (Linux; Android 9; LM-G850) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Mobile Safari/537.36 | 16:20:06 || 
16/04/2022 16:20:28 | 14.226.99.39 | Android | Google Chrome | 100.0.4896.127 | Mozilla/5.0 (Linux; Android 9; LM-G850) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Mobile Safari/537.36 | 16:20:28 || 
16/04/2022 18:23:44 | 118.71.207.84 | Android | Google Chrome | 100.0.4896.79 | Mozilla/5.0 (Linux; Android 10; RMX2032) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.79 Mobile Safari/537.36 | 18:23:44 || 
